"Sample_ID","Study_ID","Platform_Type","Timepoint","Bacteroidetes","Firmicutes","Actinobacteria","Proteobacteria"
"SHIME_S1","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.513056640401483,0.442624534452334,0.0442688799742609,0.0129689321340993
"SHIME_S2","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.445264833308756,0.401715769823641,0.0464254050329328,0.0116052893316373
"SHIME_S3","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.47744452893734,0.401656731097028,0.0529390359576792,0.0192813910264522
"SHIME_S4","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.523301100544631,0.418894502865151,0.0535871321428567,0.0255873632291332
"SHIME_S5","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.54413173802197,0.474245569198392,0.0587862916942686,0.024670559191145
"SHIME_S6","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.510183494649827,0.476260801376775,0.0457989218086004,0.0263446088880301
"SHIME_S7","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.457392543777823,0.453985527921468,0.0667681571654976,0.0134032496251166
"SHIME_S8","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.434396882615983,0.453324590572156,0.0685028117429465,0.028894406510517
"SHIME_S9","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.433697930388153,0.433576128999703,0.0393409410212189,0.0158724768273532
"SHIME_S10","SHIME_2025_Ref","Multi-Stage SHIME","In_Vivo_Baseline",0.468834939114749,0.3802272966085,0.058979903999716,0.0129814410489053
"SHIME_S11","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.436765446907375,0.47307249430567,0.0561453810054809,0.0415813577384688
"SHIME_S12","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.350031056555454,0.500416187131777,0.0441389633901417,0.0297225785744376
"SHIME_S13","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.377114094402641,0.490182707523927,0.0452602919563651,0.0433642849558964
"SHIME_S14","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.47129443655489,0.454327788706869,0.057495433986187,0.0318332300544716
"SHIME_S15","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.470333817319479,0.464294799258932,0.0540193100273609,0.0403577860374935
"SHIME_S16","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.445432259130757,0.464485203437507,0.0431928359623998,0.0432747512822971
"SHIME_S17","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.393299357844517,0.400165701229125,0.0528561569564044,0.0256360713206232
"SHIME_S18","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.416958232878242,0.442679914459586,0.0245487443637103,0.0208725745673291
"SHIME_S19","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.446716704021674,0.473455970818177,0.0505803103465587,0.0240714139118791
"SHIME_S20","SHIME_2025_Ref","Multi-Stage SHIME","Ex_Vivo_Stabilized",0.430490701205563,0.499473055666313,0.0449445382878184,0.0404049253440462
